Model Number,Model Type,Model,AIC,BIC,Dispersion,Num Obs,Components,DF Residuals,DF Model,Total DF,Log Likelihood,Deviance,Pearson Chi2 Statistic,Pearson Chi2 Critical Value,Pearson Chi2 P-Value,Worse Than,Same As ,Best Worse Than,Best Same As,Consider
68,Negative Binomial,PP100 ~ Offense + Defense + Is_Neutral,476929.1107,481725.7195,1.00E-16,5570,3,4846,723,5569,-237740.5553,3652.282905,5488.148129,5009.061509,1.90E-10,"58, 44, 42, 40 ,30",,58,,
64,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Away + Defense:Is_Away,476963.167,481753.1507,1.00E-16,5570,4,4847,722,5569,-237758.5835,3690.486588,5488.834849,5010.078216,1.95E-10,"49, 46, 30, 28, 12",72,49,72,
70,Negative Binomial,PP100 ~ Offense + Defense + Is_Away,476963.167,481753.1507,1.00E-16,5570,3,4847,722,5569,-237758.5835,3690.486588,5488.834849,5010.078216,1.95E-10,"62, 60 44, 38, 26",72,62,72,
72,Negative Binomial,PP100 ~ Offense + Defense,476963.167,481753.1507,1.00E-16,5570,2,4847,722,5569,-237758.5835,3690.486588,5488.834849,5010.078216,1.95E-10,"68, 66, 62, 60, 58, 56, 54, 52, 48, 46, 44, 42, 40, 38, 36, 30 ,28, 26, 18, 16, 12",,68,,
42,Negative Binomial,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Home + Defense:Is_Away,476158.3783,483346.6664,1.00E-16,5570,5,4485,1084,5569,-236994.1891,3105.820051,4974.26014,4641.91294,2.92E-07,,,,,
54,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Away + Defense:Is_Home,476662.9698,483844.6328,1.00E-16,5570,4,4486,1083,5569,-237247.4849,3039.063486,4977.043878,4642.930307,2.68E-07,,,,,
56,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Home + Defense:Is_Away,476709.8431,483891.506,1.00E-16,5570,4,4486,1083,5569,-237270.9215,3084.365055,4984.536711,4642.930307,1.82E-07,"42, 18",,42,,
40,Negative Binomial,PP100 ~ Offense + Defense + Is_Neutral + Offense:Is_Away + Defense:Is_Home,476913.7586,484102.0467,1.00E-16,5570,5,4485,1084,5569,-237371.8793,2909.772974,4964.960442,4641.91294,4.69E-07,,54,,54,
52,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Neutral + Defense:Is_Neutral,476775.7867,484295.3324,1.00E-16,5570,4,4435,1134,5569,-237252.8934,3096.011672,5017.333567,4591.042097,1.44E-09,18,,18,,
28,Negative Binomial,PP100 ~ Offense + Defense + Offense:Is_Away + Defense:Is_Away + Offense:Is_Neutral + Defense:Is_Neutral,476894.7727,484414.3183,1.00E-16,5570,6,4435,1134,5569,-237312.3863,3094.568899,5017.32181,4591.042097,1.44E-09,,52,,52,
